"Date","Spot exchange rate, Japanese Yen into Sterling                          XUDLJYS"
"31 Dec 20","140.6666"
"30 Dec 20","140.5026"
"29 Dec 20","139.8113"
"24 Dec 20","140.8668"
"23 Dec 20","140.0744"
"22 Dec 20","138.1491"
"21 Dec 20","137.8132"
"18 Dec 20","139.4484"
"17 Dec 20","140.0417"
"16 Dec 20","139.6867"
"15 Dec 20","139.4423"
"14 Dec 20","138.6986"
"11 Dec 20","137.3803"
"10 Dec 20","138.5777"
"09 Dec 20","139.5997"
"08 Dec 20","139.1147"
"07 Dec 20","138.5218"
"04 Dec 20","140.4021"
"03 Dec 20","140.0584"
"02 Dec 20","139.3766"
"01 Dec 20","139.6404"
"30 Nov 20","139.2718"
"27 Nov 20","138.8043"
"26 Nov 20","139.0052"
"25 Nov 20","139.6901"
"24 Nov 20","139.7868"
"23 Nov 20","138.8957"
"20 Nov 20","137.922"
"19 Nov 20","137.4181"
"18 Nov 20","137.9151"
"17 Nov 20","138.1957"
"16 Nov 20","137.8341"
"13 Nov 20","137.6958"
"12 Nov 20","138.0252"
"11 Nov 20","139.3867"
"10 Nov 20","139.39"
"09 Nov 20","138.5879"
"06 Nov 20","135.9428"
"05 Nov 20","134.973"
"04 Nov 20","135.7353"
"03 Nov 20","136.6704"
"02 Nov 20","135.2339"
"30 Oct 20","135.2274"
"29 Oct 20","135.0508"
"28 Oct 20","135.6054"
"27 Oct 20","136.4678"
"26 Oct 20","136.5407"
"23 Oct 20","136.7456"
"22 Oct 20","137.2618"
"21 Oct 20","137.4283"
"20 Oct 20","136.8528"
"19 Oct 20","137.0924"
"16 Oct 20","136.2822"
"15 Oct 20","135.8744"
"14 Oct 20","137.074"
"13 Oct 20","137.0518"
"12 Oct 20","137.5879"
"09 Oct 20","137.3206"
"08 Oct 20","137.0627"
"07 Oct 20","136.7386"
"06 Oct 20","136.8763"
"05 Oct 20","137.0573"
"02 Oct 20","136.2516"
"01 Oct 20","135.9716"
"30 Sep 20","136.387"
"29 Sep 20","135.7271"
"28 Sep 20","135.65"
"25 Sep 20","134.241"
"24 Sep 20","134.1073"
"23 Sep 20","134.4091"
"22 Sep 20","133.5705"
"21 Sep 20","133.7461"
"18 Sep 20","135.2455"
"17 Sep 20","135.7111"
"16 Sep 20","136.3809"
"15 Sep 20","135.5711"
"14 Sep 20","136.1347"
"11 Sep 20","135.7448"
"10 Sep 20","136.6089"
"09 Sep 20","138.0695"
"08 Sep 20","137.9526"
"07 Sep 20","140.0583"
"04 Sep 20","140.3846"
"03 Sep 20","140.9513"
"02 Sep 20","141.2113"
"01 Sep 20","142.5297"
"28 Aug 20","140.3916"
"27 Aug 20","140.3969"
"26 Aug 20","140.0173"
"25 Aug 20","139.7592"
"24 Aug 20","138.3827"
"21 Aug 20","138.5215"
"20 Aug 20","139.2475"
"19 Aug 20","139.3733"
"18 Aug 20","139.4498"
"17 Aug 20","138.8494"
"14 Aug 20","139.5559"
"13 Aug 20","139.97"
"12 Aug 20","139.577"
"11 Aug 20","139.3111"
"10 Aug 20","138.4554"
"07 Aug 20","138.1709"
"06 Aug 20","138.6849"
"05 Aug 20","138.7375"
"04 Aug 20","138.6505"
"03 Aug 20","138.2956"
"31 Jul 20","138.7156"
"30 Jul 20","137.0104"
"29 Jul 20","136.2727"
"28 Jul 20","135.9047"
"27 Jul 20","135.578"
"24 Jul 20","135.3716"
"23 Jul 20","136.3695"
"22 Jul 20","136.4616"
"21 Jul 20","136.2868"
"20 Jul 20","135.5505"
"17 Jul 20","134.3116"
"16 Jul 20","134.9517"
"15 Jul 20","134.8641"
"14 Jul 20","134.3843"
"13 Jul 20","135.3766"
"10 Jul 20","135.1795"
"09 Jul 20","135.3463"
"08 Jul 20","135.4196"
"07 Jul 20","135.2441"
"06 Jul 20","134.4217"
"03 Jul 20","134.0684"
"02 Jul 20","134.1716"
"01 Jul 20","133.9609"
"30 Jun 20","133.3907"
"29 Jun 20","132.1632"
"26 Jun 20","132.2429"
"25 Jun 20","132.9923"
"24 Jun 20","133.1279"
"23 Jun 20","133.0375"
